Canoe Variant,Loadcase 1 Score,Loadcase 2 Score,Loadcase 3 Score,Average Score
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.4, 0.0, 0.2, 0.18, 0.6, 16.0)",2.898845764,2.916974845,2.907359271,2.907726627
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.4, 0.2, 0.2, 0.18, 0.6, 16.0)",2.898845764,2.916974845,2.907359271,2.907726627
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.4, 0.2, 0.0, 0.18, 0.6, 16.0)",2.744543642,2.644017993,3.334000973,2.907520869
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.4, 0.0, 0.0, 0.18, 0.6, 16.0)",2.744543642,2.644017993,3.334000973,2.907520869
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.3, 0.0, 0.2, 0.18, 0.8, 16.0)",3.412208042,2.019761225,3.275150598,2.902373289
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.3, 0.2, 0.2, 0.18, 0.8, 16.0)",3.412208042,2.019761225,3.275150598,2.902373289
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.4, 0.2, 0.0, 0.18, 0.6, 16.0)",3.090008022,2.877298258,2.703326501,2.890210927
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.4, 0.0, 0.0, 0.18, 0.6, 16.0)",3.090008022,2.877298258,2.703326501,2.890210927
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.4, 0.0, 0.0, 0.18, 0.8, 16.0)",2.491212787,2.944383258,3.221009865,2.885535304
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.4, 0.2, 0.0, 0.18, 0.8, 16.0)",2.491212787,2.944383258,3.221009865,2.885535304
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.4, 0.0, 0.2, 0.18, 0.6, 16.0)",2.865934378,2.772534859,3.010017189,2.882828809
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.4, 0.2, 0.2, 0.18, 0.6, 16.0)",2.865934378,2.772534859,3.010017189,2.882828809
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.4, 0.0, 0.0, 0.18, 0.6, 16.0)",3.089477994,2.848596348,2.704644542,2.880906295
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.4, 0.2, 0.0, 0.18, 0.6, 16.0)",3.089477994,2.848596348,2.704644542,2.880906295
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.4, 0.2, 0.0, 0.18, 0.8, 16.0)",2.647217677,2.694086377,3.293461796,2.878255283
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.4, 0.0, 0.0, 0.18, 0.8, 16.0)",2.647217677,2.694086377,3.293461796,2.878255283
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.3, 0.2, 0.0, 0.18, 0.8, 16.0)",3.0026084,2.800094557,2.694086377,2.832263112
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.3, 0.0, 0.0, 0.18, 0.8, 16.0)",3.0026084,2.800094557,2.694086377,2.832263112
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.4, 0.0, 0.2, 0.18, 0.8, 16.0)",2.334049191,2.694086377,3.442314933,2.8234835
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.4, 0.2, 0.2, 0.18, 0.8, 16.0)",2.334049191,2.694086377,3.442314933,2.8234835
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.4, 0.0, 0.0, 0.18, 0.6, 16.0)",2.443892616,2.758806569,3.23740078,2.813366655
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.4, 0.2, 0.0, 0.18, 0.6, 16.0)",2.443892616,2.758806569,3.23740078,2.813366655
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.4, 0.2, 0.0, 0.18, 0.8, 16.0)",2.443410789,2.776199219,3.202074338,2.807228116
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.4, 0.0, 0.0, 0.18, 0.8, 16.0)",2.443410789,2.776199219,3.202074338,2.807228116
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.4, 0.0, 0.2, 0.18, 0.8, 16.0)",2.378472104,2.694086377,3.334000973,2.802186485
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.4, 0.2, 0.2, 0.18, 0.8, 16.0)",2.378472104,2.694086377,3.334000973,2.802186485
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.4, 0.0, 0.2, 0.18, 0.6, 16.0)",2.384893447,2.694086377,3.293461796,2.790813873
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.4, 0.2, 0.2, 0.18, 0.6, 16.0)",2.384893447,2.694086377,3.293461796,2.790813873
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.4, 0.0, 0.0, 0.18, 0.8, 16.0)",2.43892133,2.694086377,3.23740078,2.790136163
